ID da Dupla,Seção testada,Ferramenta,test_case_count,assertion_conformity,interaction_conformity,avg_assertions,total_locators,fragile_locator_rate,loc_class,css_outro,Xpath_relativo,smell_hard_coded,eslint_cy_wait_fixo,eslint_unsafe_chain,eslint_await_loop,eslint_no_only_test,eslint_no_unsed_var,max-lines-per-function,max-statements,linhas
1222,Customers,Cypress,9,100%,100%,1.0,63,33%,33.3%,,,3,21,24,,1,1,,,219
,Customers,Selinium,9,100%,100%,1.33,88,44%,30.7%,,2.3%,3,,1,2,,,,,380
2222,tax-categoris,Cypress,10,90.9%,80%,0.91,81,44%,44.4%,,,1,,11,,,,,,280
,tax-categoris,Selinium,10,90%,100%,0.7,88,44%,31.8%,5.7%,,0,0,,,,1,2,1,340
3222,Options,Cypress,10,100%,90%,1.9,71,24%,23.9%,,,1,,13,,,,,,350
,Options,Selinium,10,100%,100%,1.0,104,22%,16.3%,4.8%,,1,0,0,0,,2,3,1,470
4222,Association types,Cypress,11,100%,90%,1.8,79,27%,26.6%,,,,,15,,,,,,300
,Association types,Selinium,11,100%,100%,01.08,93,52%,26.9%,,,0,0,15,0,,,,,340
5.22,payments,Cypress,10,100%,100%,3.73,0,,,,,,,,,,,,,218
,payments,Selinium,10,100%,100%,4.8,98,63%,13.3%,,48%,,,,,,1,1,3,320
6.22,Shipping categories,Cypress,9,100%,100%,1.9,50,38%,38%,,,1,1,5,,,,,,248
,Shipping categories,Selinium,9,100%,100%,1.9,69,51%,27.5%,,5.8%%,1,,1,,,,1,,285
7222,Countries,Cypress,9,100%,100%,1,92,29.3%,29.3%,,,,,9,,9,,,,228
,Countries,Selinium,9,100%,100%,1,118,49.2%,23.7%,0.8%,15.3%,,,,,9,1,1,,340
8222,Payment methods,Cypress,9,100%,100%,1.7,81,36%,35.8%,,,,,11,,,,,,155
,,Selinium,9,100%,100%,1.5,80,53%,27.5%,6.2%,,4,,,,2,,,,190
9222,Produto,Cypress,9,100%,100%,1,82,44%,43.9%,,,1,3,,,,,,,140
,,Selinium,9,100%,100%,1.2,97,58%,35.1%,5.2%,2.1%,,,,,,1,1,,208
10222,Cart Promotions,Cypress,10,90%,90%%,1.1,92,48%,33%,,,,,,,,,,,309
,,Selinium,9,90%,90%,1,74,51.7%,34.5%,6.9%,5.2%,,,3,,10,,,,404
11222,Shipments,Cypress,9,100%,100%,0,41,66%,65.9%,,,,,10,,1,,3,1,95
,,Selinium,9,100%,100%,1,51,61%,27.5%,,31.4%,,,,,,,,,198
12222,exange-rates,Cypress,10,100%,100%,1.6,117,22%,22%,,,,,2,,,1,,,635
